Date,Close
1,227.35
2,228.86
3,226.76
4,230.09
5,234.68
6,239.44
7,240.02
8,243.55
9,238.29
10,238.59
11,240.08
12,234.82
13,230.33
14,230.24
15,229.92
16,228.8
17,232.79
18,232.72
19,231.24
20,230.86
21,226.61
22,230.52
23,229.96
24,234.28
25,234.84
26,234.21
27,232.85
28,239.34
29,236.62
30,236.25
31,237.57
32,237.4
33,239.09
34,238.69
35,240.59
36,246.42
37,243.27
38,242.69
39,244.32
40,245.33
41,247.53
42,245.59
43,249.94
44,252.59
45,254.81
46,262.94
47,271.2
48,262.9
49,264.42
50,270.22
51,267.33
52,274.41
53,277.46
54,282.66
55,283.07
56,286.13
57,294.4
58,303.89
59,313.59
60,326
61,312.43
62,325.08
63,359.35
64,400.71
65,408.74
66,387.51
67,374.95
68,384.8
69,373.49
70,380.04
71,337.93
72,312.58
73,336.86
74,337.29
75,333.55
76,319.93
77,331.59
78,335.77
79,334.97
80,326.31
81,321.99
82,327.17
83,324.34
84,323.26
85,320.16
86,328.98
87,353.3
88,358.18
89,357.66
90,371.86
91,376.91
92,362.73
93,359.43
94,361.31
95,363.48
96,388.86
97,388.46
98,395.86
99,418.14
100,418.04
101,415.25
102,453.9
103,435.9
104,433.54
105,443.84
106,465.5
107,455.37
108,455.99
109,463.84
110,462.23
111,442.5
112,437.76
113,435.5
114,442.84
115,454.85
116,455.31
117,417.22
118,422.52
119,421.26
120,432.62
121,426.14
122,430.05
123,434.46
124,433.59
125,430.36
126,433.49
127,432.25
128,429.46
129,458.28
130,453.37
131,449.14
132,448.96
133,448.38
134,432.88
135,432.04
136,429.73
137,358.77
138,387.66
139,380.21
140,385.84
141,377.74
142,418.74
143,409.94
144,381.76
145,386.19
146,402.61
147,390.66
148,391.43
149,394.63
150,379.38
151,378.2
152,376.94
153,367.13
154,371.25
155,372.88
156,368.93
157,388.61
158,385.34
159,375.4
160,375.28
161,371.1
162,373.32
163,379.96
164,377.72
165,383.13
166,392.18
167,406.74
168,399.48
169,407.36
170,415.56
171,421.64
172,420.33
173,436.52
174,438.98
175,438.07
176,419.98
177,424.36
178,423.52
179,432.06
180,432.14
181,432.64
182,436.61
183,433.64
184,421.6
185,419.47
186,407.98
187,397.83
188,404.55
189,412.98
190,411.76
191,412.62
192,416.16
193,419.89
194,410.13
195,412.29
196,415.09
197,415.38
198,416.25
199,418.45
200,408.04
201,408.52
202,410.75
203,411.42
204,416.93
205,417.39
206,414.34
207,415.69
208,416.73
209,425.38
210,422.76
211,415.55
212,412.69
213,415.16
214,417.01
215,419.69
216,419.38
217,419.42
218,422.65
219,421.7
220,421.2
221,418.09
222,418.42
223,421.11
224,422.99
225,425.99
226,424.4
227,425.11
228,429.98
229,430.84
230,427.86
231,429.05
232,436.1
233,442.16
234,451.1
235,447.64
236,452.58
237,460.33
238,462.51
239,467.8
240,445.01
241,449.86
242,456.35
243,449.33
244,453.04
245,444.51
246,450.27
247,446.96
248,448.53
249,460.37
250,459.46
251,459.44
252,461.49
253,450.99
254,452.11
255,454.82
256,455.73
257,455.75
258,457.85
259,453.41
260,452.75
261,453.38
262,436.73
263,442.95
264,443.13
265,438.77
266,443.73
267,445.13
268,449.23
269,453.82
270,473.47
271,525.43
272,524.08
273,532.59
274,531.8
275,536.42
276,538.14
277,570.47
278,573.45
279,574.11
280,585.53
281,577.86
282,583.1
283,576.45
284,579.13
285,611.78
286,675.34
287,705.62
288,685.99
289,696.32
290,768.24
291,747.55
292,755.68
293,764.04
294,727.95
295,665.88
296,602.89
297,625.49
298,665.16
299,665.33
300,630.25
301,658.4
302,646.3
303,639.08
304,672.48
305,676.52
306,703.69
307,659.69
308,681.63
309,668.09
310,676.11
311,639.76
312,664.74
313,650.63
314,649.96
315,649.03
316,664.84
317,653.93
318,659.64
319,664.88
320,663.54
321,679.05
322,673.59
323,673.84
324,666.18
325,665.1
326,650.82
327,654.86
328,661.05
329,655.13
330,651.08
331,655.44
332,655.63
333,656.67
334,654.98
335,625.88
336,607.37
337,552.82
338,565.26
339,578.32
340,574.96
341,588.42
342,592.78
343,590.62
344,584.76
345,592.89
346,586.52
347,586.03
348,585.08
349,571.44
350,567.2
351,576.25
352,571.74
353,572.5
354,573.66
355,580.7
356,580.69
357,584.73
358,581.28
359,577.99
360,575.73
361,578.16
362,568.67
363,573.55
364,572.36
365,576
366,572.33
367,571.69
368,574.15
369,598.38
370,608.92
371,606.03
372,611.07
373,614.79
374,624.95
375,621.8
376,622.21
377,605.81
378,606.31
379,606.92
380,608.22
381,605.21
